S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
ENSG00000000003	495	235	386	272	255	815	1065	803	839	885	278	270	238	175	292	432	519	621	475	560
ENSG00000000005	19	1	0	2	2	12	7	3	1	4	4	4	2	0	1	9	3	1	14	46
ENSG00000000419	196	134	165	184	132	344	343	307	342	280	179	156	100	120	126	169	255	171	164	201
ENSG00000000457	97	78	141	72	102	219	344	277	337	249	62	48	40	43	52	170	165	131	183	185
ENSG00000000460	52	35	48	25	47	105	124	80	156	145	48	36	21	34	19	68	90	48	72	38
ENSG00000000938	27	44	57	43	14	71	74	146	148	165	48	59	32	79	20	103	1285	137	156	90
ENSG00000000971	313	161	221	300	113	209	724	211	299	633	547	226	86	244	136	316	576	77	531	488
ENSG00000001036	193	225	376	170	188	508	539	847	718	664	138	201	160	88	91	326	356	410	294	348
ENSG00000001084+ENSG00000231683	904	202	419	508	206	749	2465	859	971	1101	516	295	223	294	388	916	857	883	669	1309
ENSG00000001167	209	186	266	167	132	396	966	507	668	556	120	151	112	94	96	402	435	392	363	384
ENSG00000001460	105	44	48	54	33	91	291	226	182	166	28	60	29	43	73	146	214	324	183	194
ENSG00000001461	2038	541	499	1162	156	1025	5742	3623	2398	1133	266	591	387	363	1935	1780	2324	11866	3254	1690
ENSG00000001497	299	179	480	233	210	692	1044	951	1147	1166	250	195	210	100	161	1220	926	914	773	1195
ENSG00000001561	273	232	231	157	200	347	781	278	279	312	161	162	79	40	120	241	143	202	128	212
ENSG00000001617	553	180	509	436	133	641	1503	2233	1557	1186	321	304	307	231	162	2400	2454	1674	1579	2517
ENSG00000001626	52	73	125	187	6	518	87	90	284	175	195	147	72	298	47	117	1459	22	223	25
ENSG00000001629	333	292	364	231	273	578	795	730	697	681	205	204	198	101	127	382	406	396	357	372
ENSG00000001630+ENSG00000240720	738	284	457	319	273	433	1722	724	606	420	284	235	187	102	626	644	386	1263	543	413
ENSG00000001631+ENSG00000243107	374	219	463	252	393	667	929	555	633	663	286	276	199	215	204	456	425	362	396	490
ENSG00000002016	121	71	218	95	156	297	329	388	468	305	91	87	109	56	70	349	198	217	286	403
ENSG00000002079+ENSG00000239956	7	2	2	1	5	5	10	7	8	9	2	5	0	2	0	15	22	8	9	10
ENSG00000002330	175	94	202	93	72	230	656	670	496	635	121	144	81	67	33	592	582	642	452	705
ENSG00000002549	508	642	542	419	247	1066	1245	1551	1510	1625	347	457	274	303	180	761	1655	767	978	895
ENSG00000002586	54	21	21	27	43	99	63	53	60	47	36	28	25	36	35	125	102	116	110	67
ENSG00000002587	27	18	27	19	6	17	53	40	104	45	10	15	17	34	6	47	263	63	95	88
ENSG00000002726	553	10	2	128	11	4	628	348	629	51	26	27	32	6	572	213	821	3027	1391	48
ENSG00000002745	4	5	4	1	2	3	5	6	6	20	7	2	3	4	2	14	5	9	14	32
ENSG00000002746	98	8	7	40	12	15	105	71	64	86	11	4	8	5	75	25	21	290	92	112
ENSG00000002822	153	107	182	103	111	243	457	657	591	596	116	99	124	53	84	581	643	653	518	674
ENSG00000002834	611	398	510	461	182	794	1772	1940	1627	2264	547	416	324	396	260	1998	2879	1884	1779	2067
ENSG00000002919	110	67	106	71	55	223	336	360	349	313	78	96	77	58	57	275	415	334	260	284
ENSG00000002933	66	109	83	156	20	97	69	305	345	427	132	90	69	153	61	158	396	250	605	213
ENSG00000003056	418	181	530	373	165	696	1191	961	1048	849	330	253	253	296	238	821	1229	886	834	967
ENSG00000003137	25	5	17	20	11	29	133	78	47	50	15	4	9	7	12	156	56	106	79	65
ENSG00000003147	308	367	681	365	481	1095	1087	1898	1718	1019	202	342	383	183	207	471	643	922	500	446
ENSG00000003249	44	44	69	32	60	167	132	309	351	414	17	43	39	15	20	164	93	226	149	102
